aerobic,aerobics
kantin,canteen
kórus,choir
klub,club
fogyasztó,consumer
krikett,cricket
tánc,dancing
eszköz,device
dráma,drama
játékkonzol,games console
ebédidő,lunch hour
zenekar,orchestra
állami iskola,state school
tabletta,tablet
tizenéves,teenager
tipikus,typical
Amerikai foci,American football
közönség,audience
üt,beat
klasszikus,classic
komédia,comedy
dráma sorozat,drama series
teljes,entire
aranykor,golden age
megszállottság,obsession
minőség,quality
egyetlen,single
folyam,stream
meglepő,surprising
kukorica,corn
kemény,hard
vadászat,hunt
bennszülött,native
indián,Native American
pite,pie
tök,pumpkin
vallási,religious
telepes,settler
hajó,ship
Hálaadás,Thanksgiving
pulyka,turkey
művészeti forma,art form
elmosódott,blurred
meghatározni,define
festőállvány,easel
hatását,effelct
létezik,exist
származik,originate
önarckép,self-portrait
közösségi oldal,social networking site
jellemzően,typically
érték,value
képesség,ability
engedheti meg magának,afford
magasság,altitude
sportoló,athlete
mezítláb,barefoot
fejleszteni,develop
életmód,lifestyle
előző,previous
ok,reason
régióban,region
elmélet,theory
szórekord,word record
repüléstechnika,aeronautical engineering
parancsnok,commander
hadtest,corps
jogosítvány,driving license
bűvölet,fascination
repülési,flight
hős,hero
föld,land
ugrás,leap
emberiség,mankind
anyag,material
misszió,mission
pilóta jogosítvány,pilot license
szikla,rock
űrhajó,space craft
lépés,step
vonz,attract
főnök,boss
kombájn,combine
vállalkozó,enterpreteur
fo,fo
korom,grime
multimilliomos,multimillionaire
szenvedély,passion
előadni,perform
díj,prize
szolgáltatások,services
stratégia,strategy
feltölteni,upload
néző,viewer
ős,ancestor
bungee jumping,bungee jumping
éghajlat,climate
vakmerő,daredevil
sárkányrepülés,hang-gliding
lakos,inhabitant
sugárhajtású hajózás,jet-boating
maori,Maori
természet,nature
származás,origin
táj,scenery
ejtőernyőzés,skydiving
vulkán,volcano
vadvízi evezés,white-water rafting