fejlett,advanced
cikk,article
díszít,decorate
játékkonzol,games console
tréfa,joke
kölyök,kid
kötött,knit
sportos,sporty
trambulin,trampoline
lefordítani,translate
album,album
fogás,catch
operaház,opera house
hóember,snowman
kenu,canoe
fagyasztó,freezing
jégmászás,ice climbing
kajak,kayak
kajakozás,kayaking
látványos,spectacular
hullámtörés,surf
gyaloglás,walking
vízesés,waterfall
búvárruha,wetsuit
vonzerő,attraction
sikló,cable car
választás,choice
csepp,drop
él,edge
repül,fly
kihangosító,handfree
tiszta,pure
meredek,steep
terror,terror
zipline,zipline