watching a movie,filmet nézni
listening to music,zenét hallgatni
reading a magazine,magazint olvasni
free time,szabadidő
get bored,unatkozni
swimming,úszni
camping,kemping
comic book,képregény
volleyball,röplabda
flying kites,papírsárkányt reptetni
kites,papírsárkány
soccer,foci
riding a bike,biciklizni
bike,bicikli
reading,olvasni
playing,játszani
barbecue,sütögetés
jogging,kocogás
gardening,kertészkedés
walk,sétálni
board game,társasjáték
video game,videojáték
drawing,rajzolni
painting,festeni
knitting,kötni
yoga,jóga
hobby,hobbi
star gazing,csillagnézés
family,család
friends,barátok
peaceful,békés
skateboarding,gördeszkázni
hot,meleg/forró
beach,part
holiday,szünidő
fun,móka
party,buli
sunglasses,napszemüveg
ice-cream,fagyi
swimsuit,úszódressz/fürdőruha
flip flop slippers,flip-flop papucs
no school,nincs iskola/iskolaszünet