abbahagy,auf hören
ablak,das Fenster
adag,die Portion
adapter,der Adapter
adatok,die Daten
adni,geben gab h. gegeben (rendhagyó múlt)
adó,(rádió tv) der Sender die Steuer
ágy,das Bett
ajándék,das Geschenk
ajánlani,empfehlen empfahl h. empfohlen
ajtó,die Tür
akarni,wollen wollte h. gewollt
akarok/ akarsz/ akar,ich will du willst er sie will
akcentus/ akcentus nélkül,der Akzent akzentfrei
akkor,dann
akkumulátor,der Akkumulator die Batterie
alacsony,niedrig klein
alagút,der Tunnel
aláírni,unter schreiben unterzeichnen h.
alatt,unter
alkalmanként,gelegentlich
alkalmi munkás,der Gelegenheitsarbeiter
alkalmilag,bei Gelegenheit
alkalom,die Gelegenheit
kedvező alakalom,günstige Gelegenheit
alkoholmentes,alkoholfrei
alkoholos (ital),alkoholisch
állampolgár,der die Staatsbürger in
áll,stehen stand h. gestanden
állandóan,immer
állás,die Stelle - állandó állás=feste Stelle
állat,das Tier
állatkert,der Zoo
állatorvosnő,der Tierarzt die Tierärztin
allergia,die Allergie
allergiás,allergisch
állomás,die Station
állvány,das Gestell Gerüst
állványoz,aufrüsten
alma,der Apfel
alsónadrág,die Unterhose
alszik,schlafen schlief h. geschlafen
általános,gewöhnlich generell
álmos,schläfrig
aluljáró,die Unterführung
amikor,als (csak egyszer) wenn (általában)
amilyen hamar csak lehet,so bald wie möglich
Anglia,das England - Angliába=nach England
angol,englisch
antenna,die Antenne
anya,die Mutter
anyai,mütterlich
anyaság,die Mutterschaft
anyag,das Material der Stoff
anyanyelv,die Muttersprache
anyós,die Schwiegermutter
apa,der Vater
apai,väterlich
apaság,die Vaterschaft
apátlan,vaterlos
após,der Schwiegervater
ápolónő,die Krankenschwerster
április,der April - áprilisban=im April
aprópénz,das Kleingeld
ár,der Preis
áram,der Strom
áramszünet,der Stromausfall
arany,das Gold
arc,das Gesicht
árúház,das Kaufhaus
ásványvíz,das Mineralwasser
asszony,die Frau
asztal,der Tisch m
asztalosnő,der Tischler die Tischlerin
átöltözni,um ziehen
átutalni,überweisen h.
augusztus,der August -
autó,das Auto - autóban=im Auto
autópálya,die Autobahn
az,das
azonos,gleich
baba,das Baby
babaülés,der Babysitz
bádogos,der Klempner
baleset,der Unfall
bal oldal,die linke Seite
balra,links
bank,die Bank - bankba=in die Bank
bankautomata,der Bankomat der Geldautomat
bankszámla,das Bankkonto
baromfi,das Geflügel
bár,die Bar
barátnő,der Freund die Freundin
barna,braun
be,ein herein hinein
becsuk,zu machen (zu)schließen
beindít,aus springen
befejez,(be)enden h.
bejelentkezik,sich an melden h.
bejelentkezem,ich melde mich an
bejelentőlap,der Meldezettel
bekapcsol,ein schalten h.
belépőjegy,die Eintrittskarte
belső sáv,die Innenspur
belváros,die Innenstadt
bélyeg,die Briefmarke
bemutatkozik,sich vorstellen
bemutatkozom,ich vorstelle mich
bent,drinnen
benzin,das Benzin
benzinkút,die Tankstelle
benzinkutasnő,der Tankwart die Tankwärtin
bér / fizetés,der Lohn
bérelni,mieten h.
bérlőnő,der Mieter die Mieterin
bérlet,die Zeitkarte
beszáll,ein steigen stieg ein h. eingestiegen
beszélni,sprechen sprach h. gesprochen
ki beszél?,wer spricht?
beszélget,sich unterhalten -hielt h. -gehalten
beszélgetünk,wir unterhalten uns
beszélgetés,das Gespräch
beteg,krank
betűzni,buchstabieren h.
bevásárlás,der Einkauf
bevásárlóközpont,das Einkaufszentrum
bevásárol,ein kaufen h.
bicska,das Taschenmesser
birság,die Geldstrafe
birtokolni,haben hatte h. gehabt
nekem van / neked van / neki van,ich habe / du hast / er sie es hat
bizonyítvány,das Zeugnis
biztonság,die Sicherheit
biztos,sicher
biztos benne?,Sind Sie sicher?
biztosítás,die Versicherung
bliccel,schwarz fahren fuhr i. gefahren
blúz,die Bluse
bocsánat!,Entschuldigung!
bolhapiac,der Flohmarkt
bor,der Wein
borjú,das Kalb
borlap,die Weinkarte
borda,die Rippe
bordatörés,der Rippenbruch
boríték,der Briefumschlag
borotválkozni,sich rasieren
borotválkozom,ich rasiere mich
borozó,die Weinstube
borravaló,das Trinkgeld
bors,der Pfeffer
borzalmas,schrecklich
bőr (anyag),das Leder
bőr (emberi),die Haut
bőrönd,der Koffer
börtön,das Gefägnis
busz,der Bus - busszal=mit dem Bus
buszjárat,die Buslinie
buszpályaudvar,der Busbahnhof
buszmegálló,die Bushaltestelle
buta/ butaság,dumm die Dummheit
bútor,das Möbel
bútorozott,möbliert
bűnös,schuldig
bűntelen,schuldlos
bűntetés,die Strafe
cég,die Firma
cél,das Ziel das Zweck
ceruza,der Bleistift
cigaretta,die Zigarette
cím,die Adresse
megcímez,adressieren
cipő,die Schuhe
cipőjavítás,die Schuhreparatur der Schuster
citrom,die Zitrone
comb,der Oberschenkel
cukor,der Zucker - cukorral=mit dem Zucker
cukorbeteg,der Diabetiker die Diabetiker
cukrász,der Korditor die Konditorin
cukrászda,die Konditorei
család,die Familie - családdal=mit der Familie
családi állapot,der Familienstand
csapat,die Mannschaft das Team
csatlakozás,der Anschluss (utazási)
csatorna / csatornázni,der Kanal kanalisieren
csavar,die Schraube
csendes,still leise
cseng,klingen h.
cserélni,um tauschen h.
csésze,die Tasse
csinálni tenni,machen h. - tun h.
csinos,hübsch
csirke,das Huhn das Hähnchen (fiatal)
csizma,der Stiefel
csokoládé,die Schokolade
csókolni,küssen h.
csomag,die Packung
csomagkiadó,die Gepäckaufbewahrung
csomagtartó,der Kofferraum (autóban)
csoport,die Gruppe
csúcsforgalom,der Spitzenverkehr
csúcsidő,die Hauptverkehrszeit
csúnya,hässlich
csúszós,rutschig glatt
csütörtök,der Donnerstag csütörtökön am Donnerstag
darab,das Stück
dátum,das Datum
de,aber
defekt,die Panne
dél,der Mittag (napszak) der Süden
délelőtt,vormittags (határozó) der Vormittag (főnév)
délutánonként,nachmittags
diáklány,der die Schüler in
egyetemen tanul,der die Student in
diákigazolvány,der Schülerausweis der Studentausweis
diákszálló,die Jugendherberge
dohánybolt,das Tabakgeschäft
dohányozni,rauchen h.
dolgozni / munka,arbeiten h. - die Arbeit
dolgozó nő,der die Arbeiter in
drága,teuer
dupla,doppel
ebéd,das Mittagessen
ebédel,(zu) Mittag essen
edény,der Topf
édes,süß
Egészségedre!,Zum Wohl!
tüsszentés,Zur Gesundheit!
egész,ganz (teljes) komplett
egészséges,gesund
ég,brennen brannte h. gebrannt
éghajlat,das Klima
egy,eins (számnév)
egy,ein eine ein (határozatlan névelő)
egy kevés,ein wenig
egyedül,allein
egyenesen,geradeaus
egyetem,die Universität (Uni)
egyetértek,ich bin einverstanden.
egyszer kétszer,einmal - zweimal
egyszerű,einfach
együtt,zusammen
éhes,hungrig
éjfél,die Mitternacht
éjszaka,die Nacht
el,weg-
elad,verkaufen h.
eladónő,der die Verkäufer in
elég,genug
elégedett,zufrieden
élelmiszer,das Lebensmittel
elem,die Batterie
elérni,erreichen h.
elintéz,erledigen h.
éles,scharf
elfelejteni,vergessen vergaß h. vergessen
elfogadni,akzeptieren h.
elhozni,ab holen h.
elkezd,an fangen fing an h. angefangen
elkerülő út,die Umleitung - die - ung
ellenőriz,überprüfen h. kontrolieren h.
elmagyaráz,erklären h.
elmond,sagen h. (megmond) erzählen h. (elmesél)
Elnézést!,Verzeihung!
előétel,die Vorspeise
első / második / harmadik,erste zweite dritte
elsősegély,erste Hilfe
eltéved,sich verirren h.
eltölteni (időt),verbringen verbracht h. verbringen
elutazik,ab fahren fuhr ab i. abgefahren
elveszít,verlieren verlor h. verloren
elvitelre,zum Mitnehmen
elvontatni,ab schleppen schleppte... ab h. abgeschleppt
emberek,die Leute
emelet,die Etage
emlékezik valamire,sich errinern (an+Tárgy eset)
énekelni,singen sang h. gesungen
engedély,die Genehmigung
engem,mich
enni,essen aß h. gegessen
épiteni,bauen h.
épület,das Gebäude
érdekes,interressant
érdekel engem,ich interressiere mich
erdő,der Wald - erdőbe=in den Wald
érkezik,an kommen kam ...an i. gekommen
erős,stark
értékes,wertvoll
érteni,verstehen verstand h. versrtehen
Nem értem,ich verstehe nicht
érvényes tól..ig..,gültig von... bis..
és,und
esernyő,der Regenschirm
eső,der Regen
esőkabát,der Regenmantel
észak,der Nord
étel,das Gericht
étkezőkocsi,der Speisewagen
étlap,die Speisekarte
étterem,das Restaurant
év,das Jahr
evőeszköz,das Besteck
évente,jährlich pro Jahr
ez minden,das ist alles
ez,dies
ezer,tausend
ezüst,silber
fa (anyag),das Holz
fa,der Baum
faanyag,das Holzmaterial
fagy,der Frost
fagylalt,das Eis
fáj,es tut weh
fal,die Wand - falra=an die Wand
das Dorf,falu
falusi,dörflich
fantasztikus,fantastisch
fáradt,müde
farm,der Bauernhof
fehér,weiß
fej,der Kopf
fejfájás,die Kopfschmerzen
fék,die Bremse
fekete munka,schwarz - Schwarzarbeit
fekszik,liegen lag h. gelogen
fél hét,halb sieben
feleség,die Frau
felett,über
felírni,auf schreiben schrieb.. auf aufgeschrieben
félni,Angst haben
félek,ich habe Angst
felöltözik,sich an ziehen
felpróbál,an probieren. probierte..an h.anprobiert
félreértés,das Missverständnis
felüljáró,der Übergang
fent,oben
fény,das Licht
férj/ férfi,der Mann
fest,malen h.
festék,die Farbe
fia (valakinek),der Sohn
fiatal,jung
fiú,der Junge
fiútestvér / leánytestvér,der Bruder - die Schwester
fizetés,das Gehalt
fizetni,zahlen h.
fodrásznő,der die Friseur in
fog,der Zahn
fogkrém,die Zahnpasta
foglalás,die Reservierung - reservieren h.
foglalkozás,der Beruf
foglalni,reservieren buchen h.
foglalt,besetzt
fogorvosnő,der Zahnarzt die Zahnärztin
fok,das Grad (hőmérséklet)
folyékony,fließend
folyó folyóban,der Fluß - im Fluß
folyosó,der Gang
fontos,wichtig
fordít,übersetzen h.
forgalmi engedély,die Kraftfahrzeugzulassung
forgalom,der Verkehr (közlekedés)
forró,heiß
fő,haupt
főbérlőnő,der die Vermieter in
főtt tojás,gekocht - gokochtes Ei
főútvonal,die Hauptstraße
főváros,die Hauptstadt - in der Hauptstadt
főzni,kochen h.
friss kenyér,frisch - frisches Brot
fű,der Rasen
függöny,der Vorhang
fürdeni,baden h.
fürdőszoba,das Badezimmer
fűszer,die Würze
fűszeres,würzig
fűt,heizen h.
fűtés,die Heizung
garancia,die Garantie
garantálni,garantieren h.
garázs,die Garage
gazdag,reich
gazdaság,die Wirtschaft
gépjármű,das Kraftfahrzeug
gépjárművezető,der Kraftfahrer
gondnok,der Hausverwalter
gondoskodni,sorgen h.
gondoz,pflegen h.
gödör,die Grube
gumiabroncs,der Reifen
gyakorolni gyakorlat,üben h. - die Übung
gyakran,oft
gyalog,zu Fuß
gyenge,schwach
gyerek/ gyerekek,das Kind die Kinder
gyógyszer,das Medikament
gyógyszertár,die Apotheke
gyógyvíz,das Heilwasser
gyors,schnell
gyorsbüfé,der Schnellimbiss
gyújtás,die Zündung
gyümölcs,das Obst die Frucht
gyümölcslé,der Fruchtsaft
ha,wenn
hamar,bald
hagyma,die Zwiebel
haj,das Haar
hajó,das Schiff
hall,hören h.
hallgat,(valamit) hören (nem beszél) schweigen h.
hálószoba,das Schlafzimmer
HAMIS,falsch
hang,die Stimme
hangos,laut
hány/ mennyi?,wie viel?
harapófogó,die Zange
harisnyanadrág,die Strumpfhose
harmadik,dritte
harminc,dreißig
három,drei
hasmenés,der Durchfall
használni,benutzen
használt,gebraucht
hasznos,nützlich
hát (testrész),der Rücken
hat,sechs
határ (ország),die Grenze
hátizsák,der Rucksack
hatvan,sechzig
havazni,schneien h.
havi bérlet,die Monatskarte
havonta,pro Monat
haza,nach Hause
ház,das Haus - im Haus
házas,verheiratet
hegy,der Berg
hegycsúcs,der Gipfel
helikopter,der Helikopter sy. der Hubschrauber
hely,der Platz
helyes,richtig
ez igaz,das ist richtig
helyett,statt
helyjegy (vonat),die Platzkarte
hentes (foglalkozás),der Fleischer
hentes (üzlet),die Fleischerei
hét,die Woche
hét (számnév),sieben
hetente,pro Woche
hétfő hétfőn,der Montag - am Montag
hetijegy,die Wochenkarte
hétvége,das Wochenende
hetven,siebzig
hiba,der Fehler
híd át a hídon,die Brücke - über die Brücke
hideg hideg víz,kalt - kaltes Wasser
himnemű,männlich
hinni,glauben h.
hír jó/rossz hír,die Nachricht - gute schlechte Nachricht
híres,berühmt
hitel,das Darlehen
hitelkártya,die Kreditkarte
hitelképesség,die Kreditwürdigkeit
hivni,rufen rief h. gerufen
hívja a rendőrséget!,rufen Sie die Polizei!
visszahívom!,ich rufe zurück!
hó,der Schnee
hogyan?,wie?
hol?,wo?
holnap,morgen - morgen früh
homok,der Sand
hónap,der Monat - pro Monat
honnan?,woher?
hordani,tragen trug h. getragen
hossz,die Länge
hosszú idő,lang - lange Zeit
hotel,das Hotel - im Hotel
hová?,wohin?
hozni / vinni,bringen brachte h. gebracht
hús,das Fleisch
húsz,zwanzig
húzni,ziehen zog h. gezogen
hűtőszekrény,der Kühlschrank
idő,die Zeit - kurze lange Zeit
időjárás,das Wetter
időpont,der Termin
IGAZ,wahr
igazolás,die Bescheinigung
igazolvány,der Ausweis
illemhely,die Toilette
indulás (vonat),die Abfahrt
indulni (vonat),ab fahren fuhr. ab i. abgefahren
információ,die Auskunft
ing,das Hemd
ingyenes,frei kostenlos
inni,trinken trank h. getrunken
irány,die Richtung
irásban,schriftlich
iroda,das Büro - im Büro
iskola,die Schule - in die Schule
ismételni,wiederholen h.
ivóvíz,das Trinkwasser
ízlés,der Geschmack
izom,der Muskel
január,der Januar
jármű,das Fahrzeug
játék,das Spiel
játszani,spielen
javasolni,vorschlagen -schlug h. -geschlagen
javítani,reparieren h.
jég,das Eis
jegy,der Fahrschein
belépőjegy,die Eintrittskarte
jelenteni valamit,bedeuten h.
jó,gut
jobb,besser
jobb (irány),recht
jobbra,rechts
július,der Juli - im Juli
június,der Juni - im Juni
kabát,der Mantel
kalap,der Hut
kalapács,der Hammer
kanál,der Löffel
kar,der Arm
kártya,die Karte
kassza,die Kasse
kávé,der Kaffee
kedd,der Dienstag
kedves,nett - liebe Mutter
kefe,die Bürste
kék,blau
kelet,der Ost
kell/ nekem.. kell,müssen ich muß...
kellemes,angenehm
kenyér,das Brot
kérdés,die Frage
kérdezni,fragen h.
kerek,rund
kerékpár,das Fahrrad
kérem,bitte
keresni,suchen h.
keresztül,durch
kert,der Garten
kés,das Messer
késés,die Verspätung
kész,fertig
készpénz,das Bargeld
kesztyű,der Handschuh
kétszer,zweimal
kettő,zwei
kevés,wenig
kevesebb,weniger
kéz,der Hand
kezdeni,beginnen begann h. begonnen
kezdő,der Anfänger
ki,wer
kicsi,klein
kiejteni,aus sprechen sprach aus h. ausgesprochen
kijárat,der Ausgang
kilenc,neun
kilencven,neunzig
kilo,das Kilo
kinek a..?,wessen..?
kinyitni,auf schließen
kirándulás,der Ausflug
kitölteni,aus füllen h.
kivánni,wünschen h.
kívül,außer
kolbász,die Wurst
komoly,ernst
konzerv,die Dose
konyha,die Küche - in die Küche
korán,früh
korház,das Krankenhaus
ködös,neblig
kölcsön,das Darlehen
könnyű,leicht
könyv,das Buch
környék,die Gegend
körülbelül,etwa
köszönöm,danke
kötetlen,zwanglos
kövér,dick
következő,nächste
követni,folgen
közel,nah
közlekedés,der Verkehr
között,zwischen
krumpli,die Kartoffeln
kulcs,der Schlüssel
kutya,der Hund
küldeni,schicken h.
külön,getrennt
láb,das Bein
lakás,die Wohnung
lakni,wohnen h.
lámpa,die Lampe
lány,das Mädchen
lassan,langsam
látni,sehen sah h. gesehen
lenni,sein - ich werde sein
lent,unten
lépcső,die Treppe
levegő,die Luft
levél,der Brief
lift,der Aufzug
lila,lila
ma,heute
madár,der Vogel
magas,groß
majdnem,fast
május,der Mai
már,schon
maradni,bleiben blieb i. geblieben
március,der März
második,zweite
másolat,die Kopie
megálló,die Haltestelle
meglátogatni,besuchen h.
meleg,warm
mély,tief
menni,gehen ging i. gegangen
méret,die Größe
mert,weil
messze,weit
mi?,was?
mi,wir (személyes névmás)
mind,alle
mindig,immer
mobil telefon,das Handy
most,jetzt
mozi,das Kino
mutat,zeigen
müködni,funktionieren
nadrág,die Hose
nagy,groß
nagyon,sehr
nagyság,die Größe
nap,die Sonne (égitest)
nap,der Tag
naponta,täglich pro Tag
nappali,das Wohzimmer
narancs,die Orange
négy,vier
negyedik,vierte
negyven,vierzig
nekünk,für uns
nélkül,ohne
nem,nein (mondat elején) nicht (mondat közben)
német,deutsch
nemzet,die Nation
név,der Name
nevetni,lachen h.
normális,normal
növény,die Pflanze
nő,die Frau
nulla,null
nyak,der Hals
nyár,der Sommer
nyelv,die Sprache
nyelvtanfolyam,der Sprachkurs
nyers,roh
nyit,öffnen
nyolc,acht
nyolcvan,achtzig
nyugat,der West
nyugdíjas,der die Rentner in
oklevél,die Urkunde
október,der Oktober
olaj,das Öl
olcsó,billig
oldal,die Seite
olvasni,lesen las h. gelesen
óra,die Uhr
orr,die Nase
ország,das Land
orvos,derArzt
orvosság,die Medizin
férfi/nő,der die Österreicher in
osztani,teilen h.
óta,seit
ott,dort
óváros,die Altstadt
ő (férfi/nő),er sie es
ők,sie
öltöny,der Anzug
ön/ önök,Sie
őr,der die Wächter in
öreg/ idős,alt
örülni/ örülök,sich freuen ich freue mich
ősz (évszak),der Herbst
öt,fünf
ötödik,fünfte
ötven,fünfzig
öv,der Gürtel
páciens,die derPatient in
pályaudvar,der Bahnhof
panasz,die Beschwerde
papír,das Papier
pár,das Paar
park,der Park
parkolás,das Parking
péntek,der Freitag
pénz,das Geld
pénzváltó,die Wechselstube
perc,die Minute
piac,der Markt m
pincér,der die Kellner in
piszkos,schmutzig
pohár,das Glas
posta,die Post
pótlék,der Zuschlag
pulóver,der Pullover
pumpa,die Pumpe
pumpálni,pumpen h.
rádió,das Radio
recepció,die Rezeption
recepciósnő,der Rezeptionist die Rezeptionistin
reggel,der Morgen am Morgen
reggelente,morgens
reggeli,das Frühstück - frühstücken
rendben,in Ordnung
rendelés,die Bestellung
rendelni,bestellen h.
rendőrség,die Polizei
rendőrnő,der die Polizist in
repül,fliegen flog i. geflogen
repülő,das Flugzeug
rossz,schlecht falsch (hamis)
rögtön,sofort
rövid,kurz
ruha,das Kleid
saját,eigen-e
sajnálom,es tut mir leid
sajnos,leider
sajt,der Käse
sapka,die Mütze
sárga,gelb
sarok,die Ecke
sebességkorlátozás,die Geschwindigkeitsbegrenzung
segíteni,helfen half h. geholfen
semmi,nichts
senki,niemand
sérült,verletzt
sétálni,spazieren h.
só,das Salz
soha,nie
sok,viel
sör,das Bier
sötét,dunkel
sürgősen,dringend
szabad,frei
szabadidő,die Freizeit
szabadság,der Urlaub
száj,der Mund
szakácsnő,der Koch die Köchin
szállítani,liefern h.
szám,die Nummer
számla,die Rechnung
szappan,die Seife
száraz,trocken
száz,hundert
szék,der Stuhl
széles,weit
szem,das Auge
szemben,gegenüber
szemüveg,die Brille
szép,schön
szeptember,der September
szerda,der Mittwoch
szeretne,ich möchte du möchtest
szín,die Farbe
színház,das Theater
szív,das Herz n
szoba,das Zimmer
szobalány,das Zimmermädchen
szombat,der Samstag
szomjas,durstig
szomszédnő,der die Nachbar in
szótár,das Wörterbuch
szűk,eng
szükséges/ szükségem van,nötig ich brauche
szülők,die Eltern
szünet,die Ferien (iskolai) Pause
szürke,grau
takaró,die Decke
találkozni,sich treffen traf h. getroffen
találni,finden fand h. gefunden
talán,vielleicht
tanárnő,der die Lehrer in
tánc,der Tanz
tanulni,lernen h.
tányér,der Teller
táska,die Tasche
tavasz,der Frühling
tea,der Tee
tegnap,gestern
tej,die Milch
tél,der Winter
teli,voll
teljesen,ganz
templom,die Kirche
tenger,das Meer
térd,das Knie
térkép,die Karte
persze,natürlich freilich
tessék?,wie bitte?
test,der Körper
lánytestvér,die Schwester (lány) der Bruder (fiú)
tető,das Dach
tied,dein...
tiszta,sauber
tíz,zehn
tizenegy,elf
tizenkettő,zwölf
tó,der See
tojás,das Ei
több,mehr
törülköző,das Handtuch
tulajdonosnő,der die Besitzer in
tű,die Nadel
tükör,der Spiegel
tűz,das Feuer
új,neu
ujj,der Finger
unalmas,langweilig
úr,der Herr
úszni,schwimmen schwamm i. geschwommen
út,der Weg
után,nach
utas,der Passagier
utazás,die Fahrt
járművel utazni,fahren fuhr i. gefahren
utca,die Strasse
útlevél,der Pass
utolsó,letzte
üdvözölni,wilkommen h.
ügyvéd,der Anwalt
ülni,sitzen saß h. gesessen
üres,leer
üveg,die Flasche
üzlet,das Geschäft
vacsora,das Abendessen
vacsorázni,zu Abendessen
vagy,oder
vaj,die Butter
-val -vel,mit
valaki,jemand
valami,etwas
vallás,die Religion
valószínűleg,wahrscheinlich
várni,warten h.
város,die Stadt
vasárnap,der Sonntag
vásárolni,kaufen h.
vasút,die Eisenbahn
vége,das Ende
vékony,dünn
velünk,mit uns
veszélyes,gefährlich
járművet vezetni,lenken leiten (intézményt
járművezető nő,der die Lenker in
vidám,lustig
világos,hell
vinni,tragen trug h. getragen
virág,die Blume
viszontlátásra!,auf Wiedersehen!
visszajönni,zurück kommen
víz,das Wasser
vonat,der Zug
völgy,das Tal
zakó,das Jacket
zárni,schließ schloß h. geschlossen
zárva,geschlossen
zavarni,stören h.
zene,die Musik
zokni,die Socken
zöld,grün
zöldség,das Gemüse
zuhany,die Dusche
zsebkendő,das Taschentuch
zsemle,das Brötchen die Semmel (osztrák)
zsír,das Fett
zsírszegény,fettarm
Mikor?,wann?
nappal,am Tage
éjjel,nachts
korán reggel,früh ()morgens)
reggel,morgens
délelőtt,vormittags
délben,mittags
délután,nachmittags
este,abends
éjfélkor,um Mitternacht
éjfél után,nach Mitternacht
naponta,täglich
minden nap,jeden Tag
minden este,jeden Abend
ma,heute
holnap,morgen
tegnap,gestern
tegnapelőtt,vorgestern
holnapután,übermorgen
mindig,immer
péntek előtt,vor Freitag
holnapig,bis morgen
nyáron,während des Sommers
minden héten,jede Woche
azonnal,sofort
soha,nie
még nem,noch nicht
most,jetzt
gyakran,oft
hétköznapokon,an Werktagen
hetente egyszer,eimal in der Woche
néha,manchmal
hamarosan,bald
akkor,dann
két napon belül,innerhalb von zwei Tagen
tavaly,voriges Jahr
jövőre,nächstes Jahr
a múlt évben,im letzten Jahr
a jövő évben,im nächsten Jahr
egy hét múlva,in 8 Tagen
két hét múlva,in 14 Tagen
egy hét óta,seit einer Woche
két hónap múlva,in zwei Monaten
egy évvel ezelőtt,vor einem Jahr
nemsokára,bald
nemrég,vor kurzem
folyamán..,während..
az év folyamán,während des Jahres
egy hónap alatt,während eines Monats
Hányadika van ma?,Den wievielten haben wir heute?
február elseje,der 1. Februar
március 14. én,am 14. März
Június 4-én elutazom,Ich reise am 4. Juni ab.
ezen a héten,in dieser Woche
Ma huszadika van.,Heute ist der 20.
augusztus 8. án,den 8. August
folyó hó harmadikán,am 3. dieses Monats
ebben a hónapban,in diesem Monat
julius 2. tól,vom zweiten Juli
másodikáig,bis zum zweiten
másodika felé,um den zweiten
másodika előtt,vor dem zweiten
másodika után,nach dem zweten
Mikor van a születésnapod?,Wann ist dein Geburtstag?
ujévkor,zu Neujahr
húsvétkor,zu Ostern
karácsonykor,zu Weihnachten
szilveszterkor,zu Silvester
hébe hóba,ab und zu