Na minden oké nálad?,Na alles klar bei dir?
Minden rendben?,Na alles rund?
Mi újság? (nagyon laza),Was geht ab?
Mi a helyzet?,Was liegt an?
Vigyázz magadra!,Mach's gut!
Mindjárt találkozunk!,Bis gleich!
Csáó lépj le! (nagyon laza),Hau ab!
Húzz el!,Schieb ab!
Durva! (meglepő),Krass!
Most tényleg ? | Komolyan?,Echt jetzt?
Ez rohadtul idegesít!,Das nervt mich total!
Szuper király!,Mega geil!
Nincs kedvem,Ich habe keinen Bock
Tökéletes szuper!,Tippitoppi!
Meg tudod csinálni!,Du packst das!
Találd ki!,Rate mal!
Ne aggódj!,Mach dir keinen Kopf!
Ezt nem mondod komolyan!,Das ist nicht dein Ernst!
Micsoda hülyeség!,So ein Schmarrn!
Ne érts félre!,Versteh mich nicht falsch!
Gyere mozogj már!,Komm schwing dich!
Mondjad rajta! Ki vele!,Schieß los!
Ne tereld el a témát!,Lenk nicht vom Thema ab!
Becsületszavamra!,Ehrenwort!
Mondd már! Nyögd már ki!,Spuck's raus!
Felejtsük el!,Schwamm drüber!
Nagyon szívesen!,Supergerne!
Nem olyan vészes!,Halb so schlimm!
Mi olyan vicces ebben?,Was ist daran so lustig?
Örülök neked!,Ich freu mich für dich!
Ő mindig is drámakirálynő volt,Sie war immer ein Dramakönig
Na hármat találhatsz!,Jetzt darfst du dreimal raten!
Nahát! | Atyaég!,Mann oh Mann!
Nagyon vicces vagy!,Scherzkeks!
Egy hangot se!,Keinen Mucks!
Ez hülyeség!,Das ist doof!
Ez totális hülyeség!,Das ist Schwachsinn!
Elszúrni valamit,Verkacken
Lazíts!,Entspann dich!
Minden rendben!,Alles Roger!
Mit forralsz?,Was heckst du da aus?
Elegem van!,Ich hab's satt!
Ne foglalkozz vele!,Scher dich nicht drum!
Fogadok…,Ich wette…
Tartsunk egy szünetet!,Lass uns eine Pause machen
Menni fog neked!,Das schaffst du schon!
Kapcsold ki az agyad!,Kopf aus!
Megegyeztünk!,Abgemacht!
Lazíts!,Entspann dich!
Hülyének nézel?,Willst du mich pflanzen?